D 9	2,0,0,2,3,0
D 9	2,0,2,2,3,0
D 9	2,0,2,2,3,2
D 9	2,0,4,2,3,0
D# 9	3,1,1,0,4,1
D# 9	3,1,1,3,4,1
D# 9	3,1,3,0,4,1
D# 9	3,1,3,0,4,3
D# 9	3,1,3,3,4,1
D# 9	3,1,3,3,4,3
D# dim	2,0,1,2,4,2
D# dim	2,0,4,2,4,2
D m	1,0,0,2,3,1
D m	1,0,3,2,3,1
D# m	2,1,1,3,4,2
D# m	2,1,4,3,4,2
D m7	1,0,0,2,1,1
D m7	1,3,0,2,1,1
D m7	1,3,0,2,3,1
D m7	1,3,3,2,3,1
D# m7	2,1,1,3,2,2
D# m7	2,4,1,3,2,2
D# m7	2,4,1,3,4,2
D# m7	2,4,4,3,4,2
D m7b5	1,3,0,1,1,1
D m7b5	1,3,0,1,1,4
D m7b5	1,3,0,1,3,1
D m7b5	1,3,0,1,3,4
D m7b5	1,3,3,1,3,1
D m7b5	1,3,3,1,3,4
D# m7b5	2,0,1,2,2,2
D# m7b5	2,4,1,2,2,2
D# m7b5	2,4,1,2,4,2
D# m7b5	2,4,4,2,4,2
D m7b5	4,3,0,1,1,1
D m7b5	4,3,0,1,3,1
D m7b5	4,3,3,1,3,1
D m7b5	4,3,3,1,3,4
D maj7	2,0,0,2,2,2
D maj7	2,4,0,2,2,2
D maj7	2,4,0,2,3,2
D maj7	2,4,4,2,3,2
D# maj7	3,1,0,0,4,3
D# maj7	3,1,0,3,4,3
D# maj7	3,1,1,0,3,3
D# maj7	3,1,1,3,3,3
D sus	3,0,0,0,3,3
D sus	3,0,0,2,3,3
D# sus	4,1,1,1,4,4
D# sus	4,1,1,3,4,4
E	0,2,2,1,0,0
E	0,2,2,1,0,4
E	0,2,2,4,0,4
E	4,2,2,1,0,0
E	4,2,2,1,0,4
E	4,2,2,4,0,0
E	4,2,2,4,0,4
E 5	0,2,2,4,0,0
E 7	0,2,0,1,0,0
E 7	0,2,0,1,0,4
E 7	0,2,0,1,3,0
E 7	0,2,0,1,3,4
E 7	0,2,0,4,0,4
E 7	0,2,0,4,3,4
E 7	0,2,2,1,3,0
E 7	0,2,2,1,3,4
E 7	0,2,2,4,3,4
E 7	4,2,0,1,0,0
E 7	4,2,0,1,3,0
E 7	4,2,0,4,0,0
E 7	4,2,0,4,3,0
E 7	4,2,2,1,3,0
E 7	4,2,2,1,3,4
E 7	4,2,2,4,3,0
E 7	4,2,2,4,3,4
E 7sus	0,0,0,2,0,0
E 7sus	0,0,0,4,0,0
E 7sus	0,0,0,4,3,0
E 7sus	0,0,2,4,3,0
E 7sus	0,2,0,2,0,0
E 7sus	0,2,0,2,3,0
E 7sus	0,2,2,2,3,0
E 9	0,2,2,1,0,2
E 9	0,2,4,1,0,0
E 9	0,2,4,1,0,2
E 9	0,2,4,1,0,4
E 9	0,2,4,4,0,4
E 9	2,2,2,1,0,0
E 9	2,2,2,1,0,2
E 9	2,2,2,1,0,4
E 9	2,2,2,4,0,4
E 9	2,2,4,1,0,0
E 9	4,2,2,1,0,2
E 9	4,2,2,4,0,2
E 9	4,2,4,1,0,0
E 9	4,2,4,4,0,0
E m	0,2,2,0,0,0
E m	0,2,2,0,0,3
E m	0,2,2,4,0,3
E m	3,2,2,0,0,0
E m	3,2,2,0,0,3
E m	3,2,2,4,0,0
E m	3,2,2,4,0,3
E m7	0,2,0,0,0,0
E m7	0,2,0,0,0,3
E m7	0,2,0,0,3,0
E m7	0,2,0,0,3,3
E m7	0,2,0,4,0,3
E m7	0,2,0,4,3,3
E m7	0,2,2,0,3,0
E m7	0,2,2,0,3,3
E m7	0,2,2,4,3,3
E m7	3,2,0,0,0,0
E m7	3,2,0,0,3,0
E m7	3,2,0,4,0,0
E m7	3,2,0,4,3,0
E m7	3,2,2,0,3,0
E m7	3,2,2,0,3,3
E m7	3,2,2,4,3,0
E m7	3,2,2,4,3,3
E m7b5	0,1,0,0,3,0
E m7b5	0,1,0,0,3,3
E m7b5	0,1,0,3,3,3
E m7b5	0,1,2,0,3,0
E m7b5	0,1,2,0,3,3
E m7b5	0,1,2,3,3,3
E m7b5	3,1,0,0,3,0
E m7b5	3,1,0,3,3,0
E m7b5	3,1,2,0,3,0
E m7b5	3,1,2,0,3,3
E m7b5	3,1,2,3,3,0
E m7b5	3,1,2,3,3,3
E maj7	0,2,1,1,0,0
E maj7	0,2,1,1,0,4
E maj7	0,2,1,1,4,0
E maj7	0,2,1,1,4,4
E maj7	0,2,1,4,0,4
E maj7	0,2,1,4,4,4
E maj7	0,2,2,1,4,0
E maj7	0,2,2,1,4,4
E maj7	0,2,2,4,4,4
E maj7	4,2,1,1,0,0
E maj7	4,2,1,1,4,0
E maj7	4,2,1,4,0,0
E maj7	4,2,1,4,4,0
E maj7	4,2,2,1,4,0
E maj7	4,2,2,1,4,4
E maj7	4,2,2,4,4,0
E maj7	4,2,2,4,4,4
E sus	0,0,2,2,0,0
E sus	0,0,2,4,0,0
E sus	0,2,2,2,0,0
F	1,0,3,2,1,1
F	1,3,3,2,1,1
F#	2,1,4,3,2,2
F#	2,4,4,3,2,2
F# 7	0,1,2,3,2,2
F# 7	0,1,4,3,2,0
F# 7	0,1,4,3,2,2
F# 7	0,4,2,3,2,2
F# 7	0,4,4,3,2,0
F# 7	0,4,4,3,2,2
F 7	1,0,1,2,1,1
F 7	1,3,1,2,1,1
F 7	1,3,1,2,4,1
F 7	1,3,3,2,4,1
F# 7	2,1,2,3,2,0
F# 7	2,1,2,3,2,2
F# 7	2,1,4,3,2,0
F# 7	2,4,2,3,2,0
F# 7	2,4,2,3,2,2
F# 7	2,4,4,3,2,0
F# 7sus	0,2,2,4,2,2
F# 7sus	0,2,4,4,2,0
F# 7sus	0,2,4,4,2,2
F# 7sus	0,4,2,4,0,2
F# 7sus	0,4,2,4,2,2
F# 7sus	0,4,4,4,0,0
F# 7sus	0,4,4,4,0,2
